N;Superficie  (m2);Dormitorios;Bao;Cocina;Garaje;Lavandera;Zona;Precio($);Fuente
116;166;3;3;1;SI;SI;ACHUMANI;248895;ULTRA CASAS
117;61;1;1;1;NO;NO;MIRAFLORES;68000;INFOCASAS
118;333;4;2;1;SI;SI;ACHUMANI;271700;INFOCASAS
119;135;3;3;1;SI;SI;OBRAJES;150;ULTRA CASAS
120;138;2;3;1;SI;SI;MIRAFLORES;150000;INFOCASAS
121;87;2;2;1;NO;SI;COTA COTA;90000;ULTRA CASAS
122;162;4;3;1;SI;SI;ALTO OBRAJES;120000;ULTRA CASAS
123;143;2;1;1;SI;SI;ACHUMANI;125000;INFOCASAS
124;84;1;2;1;SI;NO;COTA COTA;81869;INFOCASAS
125;170;4;3;1;SI;SI;MIRAFLORES;180000;INFOCASAS
126;48;1;1;1;NO;NO;CALACOTO;78000;INFOCASAS
127;133;3;1;1;SI;SI;ACHUMANI;115000;ULTRA CASAS
128;400;4;2;1;SI;SI;ACHUMANI;432000;INFOCASAS
129;142;3;4;1;SI;SI;COTA COTA;175500;ULTRA CASAS
130;192;2;1;1;SI;SI;ACHUMANI;251100;ULTRA CASAS
131;221;4;3;1;SI;SI;CALACOTO;350000;INFOCASAS
132;83;2;2;1;SI;SI;ACHUMANI;113000;ULTRA CASAS
133;138;4;3;1;SI;SI;MIRAFLORES;155000;INFOCASAS
134;160;3;3;1;SI;SI;MIRAFLORES;145000;INFOCASAS
135;100;3;2;1;NO;NO;COTA COTA;79000;INFOCASAS
136;82;2;2;1;SI;SI;COTA COTA;100000;ULTRA CASAS
137;113;3;3;1;SI;NO;COTA COTA;132000;INFOCASAS
138;240;4;3;1;SI;SI;COTA COTA;230000;INFOCASAS
139;191;3;3;1;SI;SI;ACHUMANI;251100;ULTRA CASAS
140;98;2;3;1;SI;SI;MIRAFLORES;114000;INFOCASAS
141;149;2;3;1;SI;SI;CALACOTO;228000;INFOCASAS
142;46;1;1;1;NO;NO;ACHUMANI;420000;INFOCASAS
143;148;3;3;1;SI;SI;MIRAFLORES;220000;INFOCASAS
144;186;4;3;1;SI;SI;ALTO CALACOTO;165000;INFOCASAS
145;245;4;5;1;SI;SI;COTA COTA;220000;ULTRA CASAS
146;206;3;3;1;SI;SI;ALTO CALACOTO;335000;INFOCASAS
147;84;2;2;1;NO;SI;COTA COTA;81869;ULTRA CASAS
148;46;1;1;1;NO;NO;OBRAJES;50600;ULTRA CASAS
149;174;4;5;1;SI;SI;COTA COTA;165000;ULTRA CASAS
150;182;3;4;1;SI;SI;COTA COTA;180000;ULTRA CASAS
151;121;2;2;1;SI;SI;OBRAJES;145000;ULTRA CASAS
152;109;4;2;1;SI;SI;MIRAFLORES;106000;INFOCASAS
153;60;1;1;1;NO;NO;MIRAFLORES;59000;INFOCASAS
154;72;2;2;1;SI;SI;CALACOTO;125000;INFOCASAS
155;127;2;3;1;SI;SI;ACHUMANI;120650;INFOCASAS
156;99;2;2;1;SI;SI;ACHUMANI;132000;ULTRA CASAS
157;64;2;1;1;NO;NO;COTA COTA;67000;ULTRA CASAS
158;47;1;1;1;NO;SI;COTA COTA;62000;ULTRA CASAS
159;285;4;5;1;SI;SI;COTA COTA;250000;ULTRA CASAS
160;135;2;3;1;SI;SI;ACHUMANI;132000;INFOCASAS
161;172;3;4;1;SI;SI;COTA COTA;155000;ULTRA CASAS
162;148;3;1;1;SI;SI;COTA COTA;138000;ULTRA CASAS
163;117;2;1;1;SI;SI;ACHUMANI;114460;ULTRA CASAS
164;199;2;2;1;SI;SI;ACHUMANI;252000;INFOCASAS
165;416;4;3;1;SI;SI;ALTO CALACOTO;560000;INFOCASAS
166;160;2;3;1;SI;SI;OBRAJES;137000;ULTRA CASAS
167;199;3;3;1;SI;SI;ACHUMANI;279000;ULTRA CASAS
168;82;1;1;1;SI;SI;ACHUMANI;112500;ULTRA CASAS
169;280;3;3;1;SI;SI;CALACOTO;325000;INFOCASAS
170;166;4;3;1;SI;SI;CALACOTO;207000;INFOCASAS
171;158;2;1;1;SI;SI;ACHUMANI;158620;INFOCASAS
172;92;2;1;1;SI;SI;COTA COTA;110900;ULTRA CASAS
173;171;2;1;1;SI ;SI;ACHUMANI;170000;ULTRA CASAS
174;126;4;3;1;SI;SI;COTA COTA;120000;ULTRA CASAS
175;130;2;1;1;SI;SI;ACHUMANI;145000;INFOCASAS
176;160;3;3;1;SI;SI;COTA COTA;99000;ULTRA CASAS
177;49;1;1;1;NO;NO;ALTO CALACOTO;83000;INFOCASAS
178;130;3;3;1;SI;NO;ALTO CALACOTO;119000;INFOCASAS
179;199;2;3;1;SI;SI;ACHUMANI;251100;INFOCASAS
180;135;2;2;1;SI;SI;COTA COTA;115000;INFOCASAS
181;115;2;2;1;SI;SI;OBRAJES;130000;ULTRA CASAS
182;100;3;3;1;SI;NO;MIRAFLORES;135000;INFOCASAS
183;29;1;1;1;SI ;SI;ACHUMANI;58000;INFOCASAS
184;80;1;2;1;SI;NO;MIRAFLORES;110000;INFOCASAS
185;126;2;1;1;SI;NO;COTA COTA;110000;INFOCASAS
186;67;2;2;1;NO;SI;OBRAJES;80600;ULTRA CASAS
187;76;2;2;1;NO;SI;COTA COTA;72000;ULTRA CASAS
188;43;1;1;1;NO;SI;OBRAJES;48000;ULTRA CASAS
189;100;2;3;1;;;COTA COTA;98000;INFOCASAS
190;117;3;2;1;SI;SI;MIRAFLORES;130000;INFOCASAS
191;162;3;3;1;SI;SI;ACHUMANI;155000;ULTRA CASAS
192;208;3;4;1;SI;SI;COTA COTA;222000;ULTRA CASAS
193;175;3;3;1;SI;SI;CALACOTO;228000;INFOCASAS
194;90;2;2;1;SI;NO;COTA COTA;90000;INFOCASAS
195;50;1;1;1;NO;SI;OBRAJES;70000;ULTRA CASAS
196;131;2;2;1;SI;SI;ACHUMANI;135000;ULTRA CASAS
197;148;2;1;1;SI;SI;COTA COTA;138000;INFOCASAS
198;109;4;2;1;SI;SI;MIRAFLORES;106000;INFOCASAS
199;72;2;1;1;NO;NO;MIRAFLORES;92000;INFOCASAS
200;121;1;2;1;SI;SI;OBRAJES;145000;ULTRA CASAS
